hashtag,date,retweets,likes,replies,retweets_cum,likes_cum,replies_cum
BBF23,2023-03-30,17,40,0,17,40,0
BBF23,2023-03-31,2,6,0,19,46,0
BBF23,2023-04-04,0,1,0,19,47,0
BBF23,2023-04-05,0,0,0,19,47,0
BBF23,2023-04-05,0,0,0,19,47,0
BBF23,2023-04-05,0,1,0,19,48,0
BBF23,2023-04-06,0,0,0,19,48,0
BBF23,2023-04-10,0,2,0,19,50,0
BBF23,2023-04-10,0,0,0,19,50,0
BBF23,2023-04-11,5,14,0,24,64,0
BBF23,2023-04-12,0,3,0,24,67,0
BBF23,2023-04-14,3,4,0,27,71,0
FeriadeAbril,2023-03-29,1,1,0,1,1,0
FeriadeAbril,2023-03-29,0,2,0,1,3,0
FeriadeAbril,2023-03-29,0,2,1,1,5,1
FeriadeAbril,2023-03-29,0,1,0,1,6,1
FeriadeAbril,2023-03-29,0,0,0,1,6,1
FeriadeAbril,2023-03-29,0,0,0,1,6,1
FeriadeAbril,2023-03-29,0,1,0,1,7,1
FeriadeAbril,2023-03-29,11,50,2,12,57,3
FeriadeAbril,2023-03-29,0,13,1,12,70,4
FeriadeAbril,2023-03-29,0,0,0,12,70,4
FeriadeAbril,2023-03-29,0,1,0,12,71,4
FeriadeAbril,2023-03-29,1,0,0,13,71,4
FeriadeAbril,2023-03-29,112,461,0,125,532,4
FeriadeAbril,2023-03-29,0,0,0,125,532,4
FeriadeAbril,2023-03-30,0,0,0,125,532,4
FeriadeAbril,2023-03-30,2,1,0,127,533,4
FeriadeAbril,2023-03-30,0,1,0,127,534,4
FeriadeAbril,2023-03-30,2,2,0,129,536,4
FeriadeAbril,2023-03-30,0,0,0,129,536,4
FeriadeAbril,2023-03-30,7,14,1,136,550,5
FeriadeAbril,2023-03-30,2,1,0,138,551,5
FeriadeAbril,2023-03-30,2,0,0,140,551,5
FeriadeAbril,2023-03-30,1,2,0,141,553,5
FeriadeAbril,2023-03-30,4,4,0,145,557,5
FeriadeAbril,2023-03-30,0,1,0,145,558,5
FeriadeAbril,2023-03-31,0,0,0,145,558,5
FeriadeAbril,2023-03-31,1,2,0,146,560,5
FeriadeAbril,2023-03-31,4,0,0,150,560,5
FeriadeAbril,2023-03-31,0,2,0,150,562,5
FeriadeAbril,2023-03-31,0,6,1,150,568,6
FeriadeAbril,2023-03-31,0,0,0,150,568,6
FeriadeAbril,2023-03-31,0,1,0,150,569,6
FeriadeAbril,2023-03-31,0,0,0,150,569,6
FeriadeAbril,2023-03-31,0,0,0,150,569,6
FeriadeAbril,2023-04-01,0,0,0,150,569,6
FeriadeAbril,2023-04-01,1,4,1,151,573,7
FeriadeAbril,2023-04-01,2,2,1,153,575,8
FeriadeAbril,2023-04-03,5,11,0,158,586,8
FeriadeAbril,2023-04-03,0,1,1,158,587,9
FeriadeAbril,2023-04-03,0,0,0,158,587,9
FeriadeAbril,2023-04-03,1,2,0,159,589,9
FeriadeAbril,2023-04-03,71,86,3,230,675,12
FeriadeAbril,2023-04-03,0,2,0,230,677,12
FeriadeAbril,2023-04-04,2,5,0,232,682,12
FeriadeAbril,2023-04-04,0,0,0,232,682,12
FeriadeAbril,2023-04-04,0,0,0,232,682,12
FeriadeAbril,2023-04-05,1,31,0,233,713,12
FeriadeAbril,2023-04-05,0,0,0,233,713,12
FeriadeAbril,2023-04-05,0,0,0,233,713,12
FeriadeAbril,2023-04-05,0,0,0,233,713,12
FeriadeAbril,2023-04-05,0,0,1,233,713,13
FeriadeAbril,2023-04-08,3,4,1,236,717,14
FeriadeAbril,2023-04-08,0,1,1,236,718,15
FeriadeAbril,2023-04-08,0,0,0,236,718,15
FeriadeAbril,2023-04-08,0,0,1,236,718,16
FeriadeAbril,2023-04-08,0,0,0,236,718,16
FeriadeAbril,2023-04-08,0,0,0,236,718,16
FeriadeAbril,2023-04-08,0,0,1,236,718,17
FeriadeAbril,2023-04-08,0,0,0,236,718,17
FeriadeAbril,2023-04-08,0,4,0,236,722,17
FeriadeAbril,2023-04-08,184,244,9,420,966,26
FeriadeAbril,2023-04-08,0,0,0,420,966,26
FeriadeAbril,2023-04-09,0,1,0,420,967,26
FeriadeAbril,2023-04-09,0,1,1,420,968,27
FeriadeAbril,2023-04-09,0,1,0,420,969,27
FeriadeAbril,2023-04-09,0,2,0,420,971,27
FeriadeAbril,2023-04-09,5,8,0,425,979,27
FeriadeAbril,2023-04-09,0,1,1,425,980,28
FeriadeAbril,2023-04-09,0,0,0,425,980,28
FeriadeAbril,2023-04-09,0,1,0,425,981,28
FeriadeAbril,2023-04-09,0,3,0,425,984,28
